gene	weight	beta_meta	se_meta	I2	power	penalty_het	penalty_power	penalty_final	beta_capped	cap_c	capped_flag
ENSMUSG00000032508.9	0.2290855788932468	1.145427894466234	0.02653810938525	0.933687222179026	1	0.066312777820974	1	0.2	1.145427894466234	3.97495376800076	FALSE
ENSMUSG00000039232.13	0.2238044091271616	1.119022045635808	0.03080857293437594	0.983923508358021	1	0.016076491641978996	1	0.2	1.119022045635808	3.97495376800076	FALSE
ENSMUSG00000106734.6	0.22313346408598683	1.115667320429934	0.0259092643868733	0.944975862021402	1	0.05502413797859795	1	0.2	1.115667320429934	3.97495376800076	FALSE
ENSMUSG00000037580.11	0.22135984858414748	1.1067992429207374	0.02792245294262642	0.9424792841494828	1	0.05752071585051721	1	0.2	1.1067992429207374	3.97495376800076	FALSE
ENSMUSG00000018899.18	0.22046750978327354	1.1023375489163676	0.02455599009705039	0.9630849390712952	1	0.03691506092870478	1	0.2	1.1023375489163676	3.97495376800076	FALSE
ENSMUSG00000035517.18	0.21962704549808515	1.0981352274904257	0.02103560913819014	0.920044011646444	1	0.079955988353556	1	0.2	1.0981352274904257	3.97495376800076	FALSE
ENSMUSG00000056071.13	0.21799770667358953	1.0899885333679475	0.06907507774042593	0.9825309053576212	1	0.01746909464237878	1	0.2	1.0899885333679475	3.97495376800076	FALSE
ENSMUSG00000035186.7	0.21570546579508784	1.0785273289754391	0.045174277975756	0.8566132447945921	1	0.1433867552054079	1	0.2	1.0785273289754391	3.97495376800076	FALSE
ENSMUSG00000042726.15	0.21406929851757717	1.0703464925878858	0.02029115477174332	0.9218959960557817	1	0.07810400394421835	1	0.2	1.0703464925878858	3.97495376800076	FALSE
ENSMUSG00000056116.19	0.2120342306116998	1.060171153058499	0.02373287983613946	0.9353148609981264	1	0.06468513900187356	1	0.2	1.060171153058499	3.97495376800076	FALSE
ENSMUSG00000037321.18	0.21158291395018583	1.0579145697509291	0.02072702872293201	0.9616690645864682	1	0.03833093541353183	1	0.2	1.0579145697509291	3.97495376800076	FALSE
ENSMUSG00000034438.17	0.2084683771243074	1.042341885621537	0.03365407931361478	0.8477395191730698	1	0.15226048082693022	1	0.2	1.042341885621537	3.97495376800076	FALSE
ENSMUSG00000025017.11	0.20510070243798184	1.0255035121899092	0.02193971002258644	0.951113659114111	1	0.048886340885888946	1	0.2	1.0255035121899092	3.97495376800076	FALSE
ENSMUSG00000029366.11	0.2013995205936015	1.0069976029680074	0.02376985967928586	0.9315292944120792	1	0.06847070558792079	1	0.2	1.0069976029680074	3.97495376800076	FALSE
ENSMUSG00000024235.12	0.20079484110197798	1.00397420550989	0.02653289573965799	0.8456848097902965	1	0.15431519020970352	1	0.2	1.00397420550989	3.97495376800076	FALSE
ENSMUSG00000070427.5	0.2002763464553187	1.0013817322765934	0.02947905894270172	0.8395759782513978	1	0.16042402174860215	1	0.2	1.0013817322765934	3.97495376800076	FALSE
ENSMUSG00000026768.11	-0.19987865223882473	-0.9993932611941236	0.05219526092049868	0.828065107519234	1	0.171934892480766	1	0.2	-0.9993932611941236	3.97495376800076	FALSE
ENSMUSG00000036249.17	0.1990019911740314	0.9950099558701568	0.02286720280183303	0.9580622164045116	1	0.04193778359548839	1	0.2	0.9950099558701568	3.97495376800076	FALSE
ENSMUSG00000031712.11	0.19645193911366737	0.9822596955683368	0.03285729939470025	0.8826568235070085	1	0.11734317649299153	1	0.2	0.9822596955683368	3.97495376800076	FALSE
ENSMUSG00000054520.16	0.1958963992603617	0.9794819963018084	0.02437928225012366	0.886241296394569	1	0.11375870360543106	1	0.2	0.9794819963018084	3.97495376800076	FALSE
ENSMUSG00000003283.16	0.19586860876423928	0.9793430438211964	0.02859644450312889	0.9369206581366546	1	0.0630793418633454	1	0.2	0.9793430438211964	3.97495376800076	FALSE
ENSMUSG00000002325.16	0.19388883183315225	0.9694441591657612	0.02108996176635364	0.8930706040585462	1	0.10692939594145379	1	0.2	0.9694441591657612	3.97495376800076	FALSE
ENSMUSG00000024778.14	0.19362535301991654	0.9681267650995826	0.02676780029435486	0.8743706018939623	1	0.12562939810603768	1	0.2	0.9681267650995826	3.97495376800076	FALSE
ENSMUSG00000032596.15	0.19084685106089977	0.9542342553044988	0.02218620366215765	0.9424954562964648	1	0.057504543703535194	1	0.2	0.9542342553044988	3.97495376800076	FALSE
ENSMUSG00000079491.11	0.18786592533228352	0.6783337541022412	0.02877778482453939	0.7230479477157676	1	0.27695205228423236	1	0.27695205228423236	0.6783337541022412	3.97495376800076	FALSE
ENSMUSG00000001166.18	0.18652929572634352	0.9326464786317176	0.03263327899548941	0.9085804427760013	1	0.09141955722399875	1	0.2	0.9326464786317176	3.97495376800076	FALSE
ENSMUSG00000029826.15	0.18631126271343074	0.9315563135671536	0.02047725395475787	0.9566338959861164	1	0.04336610401388363	1	0.2	0.9315563135671536	3.97495376800076	FALSE
ENSMUSG00000056144.15	0.18000614872551346	0.9000307436275672	0.02397966388714551	0.957393122659452	1	0.04260687734054802	1	0.2	0.9000307436275672	3.97495376800076	FALSE
ENSMUSG00000057143.16	0.17727794062800803	0.8863897031400401	0.0243253197085325	0.9264400124038378	1	0.07355998759616222	1	0.2	0.8863897031400401	3.97495376800076	FALSE
ENSMUSG00000024677.14	0.17473395985167028	0.8736697992583514	0.02702857041690285	0.963927386990412	1	0.03607261300958797	1	0.2	0.8736697992583514	3.97495376800076	FALSE
ENSMUSG00000079419.5	0.17309735679185576	0.8654867839592787	0.02417814020031722	0.9037930852044798	1	0.09620691479552024	1	0.2	0.8654867839592787	3.97495376800076	FALSE
ENSMUSG00000049401.11	0.1725027208058228	0.8625136040291139	0.02287165147253912	0.9551006624193178	1	0.04489933758068221	1	0.2	0.8625136040291139	3.97495376800076	FALSE
ENSMUSG00000022014.17	0.1692692611427014	0.846346305713507	0.02734377120660181	0.8904961596939652	1	0.10950384030603477	1	0.2	0.846346305713507	3.97495376800076	FALSE
ENSMUSG00000096727.4	0.16178860074098522	0.8089430037049261	0.02324867779031967	0.910209855111005	1	0.08979014488899495	1	0.2	0.8089430037049261	3.97495376800076	FALSE
ENSMUSG00000054676.18	0.1580535801958306	0.790267900979153	0.02140438188840147	0.9826113909718296	1	0.01738860902817041	1	0.2	0.790267900979153	3.97495376800076	FALSE
